date_utc,block,coin,quote,pool_fee,spot,twap,liquidity,coingecko,curve_price
2026-09-08,25930646,DAI,USDC,100,1.000005,1.000003,9108371939686167614267,0.999950,0.999847
2026-09-08,25930646,FRAX,USDC,500,0.991955,0.991936,11351038479989384284,0.990728,
2026-09-08,25930646,GHO,USDC,100,0.998932,0.998903,54588743266660174270,0.998749,
2026-09-08,25930646,LUSD,USDC,500,1.007965,1.007934,11886583832993215,1.008000,
2026-09-08,25930646,PYUSD,USDC,100,0.999986,0.999900,709732377997684,0.999812,
2026-09-08,25930646,USDS,USDC,3000,0.998773,0.998803,5976035482817496433,0.999852,
2026-09-08,25930646,USDT,USDC,100,0.999879,0.999900,40198268635853000,0.999809,0.999786
2026-09-08,25930646,USDe,USDC,100,0.999877,0.999803,4973200741761440955621,0.999651,
2026-09-08,25930646,crvUSD,USDC,3000,1.001671,1.001704,526044583629142305,0.999588,
2026-09-09,25936302,DAI,USDC,100,1.000066,1.000003,9108371939686167614267,0.999911,0.999847
2026-09-09,25936302,FRAX,USDC,500,0.991608,0.991539,11351038479989384284,0.991877,
2026-09-09,25936302,GHO,USDC,100,0.998777,0.998704,54588743395248054326,0.998822,
2026-09-09,25936302,LUSD,USDC,500,1.009160,1.009144,11886583832993215,1.011000,
2026-09-09,25936302,PYUSD,USDC,100,1.000018,1.000000,709831460604945,0.999955,
2026-09-09,25936302,USDS,USDC,3000,0.999315,0.999403,5976035482817496433,0.999903,
2026-09-09,25936302,USDT,USDC,100,0.999913,1.000000,32592477827332413,0.999851,0.999713
2026-09-09,25936302,USDe,USDC,100,0.999950,0.999903,4775389088936676121128,0.999810,
2026-09-09,25936302,crvUSD,USDC,3000,1.001375,1.001404,526044583629142305,0.999904,
